발행처,빈도
상지대학교 일반대학원 한의학과,1
인천대힉교 대학원,1
금오공과대학교 토목공학과,1
한신대학교 사회혁신경영대학원,1
호남대학교,1
경희사이버대학 문화창조대학원,1
배재대학교  일반대학원,1
한밭 대학교 산업 대학원,1
한밭대학교경상대학원,1
교육학과 교육행정전공,1
호서대학교대학원,1
장로회 신학대학교 일반대학원,1
호서대학교일반대학원,1
신한대학교  일반대학원,1
가천대학원  사회정책대학원,1
호서대학교 연합신학대학원,1
경운대학교 산업정보대학원,1
The Graduate School of Kosin University,1
호남신학대학교 교회음악대학원,1
"Wiley Online Library, Transboundary and Emerging Diseases",1
"Chungnam National University, Graduate school",1
"the graduate school of kongju national university, department of future convergence engineering",1
호남대학교 한방바이오대학원,1
호남대학교대학원,1
"University of Science and Technology, KRICT",1
한국과학기술연합대학원대학교 대학원,1
강원대학교대학원,1
고려대학교 대학원 of Science and Technology,1
대전대학교 대학원 경영학과 경영전공,1
서울시립대 과학기술대학원,1
과학기술연합대학원대학교 한국천문연구원캠퍼스,1
호서대학교 바이오융합시스템학과,1
배재대학교 일반대학원 관광경영학과,1
과학기술연합대학원대학교 한국식품연구원스쿨,1
Hanbat National University,1
가천 대학교 일반대학원,1
"Chungnam National University, College of Nursing",1
Graduate School of Kyung Hee University,1
한서대학교 항공융합대학원,1
배재대학교 대학원 TESOL영어교육과,1
"University of Science and Technology, KIMM school, Mechanical Engineering",1
한림대학교 의과대학,1
"UNIVERSITY OF SCIENCE AND TECHNOLOGY, Advanced Materials Engineering",1
HUFS Graduate School of International Area Studies,1
Graduate school of Korea maritime and ocean university,1
SOONCHUNHYANG UNIVERSITY,1
"Department of Electrical, Electronic and Computer Engineering at the University of Ulsan",1
"University of Science and Technology, Ocean Science",1
"Soonchunhyang University, General graduate school",1
"UST, KAERI",1
Pukyong National University 기술경영전문대학원,1
조선대학교 임상약학대학원,1
"Inje University , Department of Energy System Engineering",1
"University of Science and technology, KRICT school, Advanced materials and chemical engineering ( Chemical Engineering)",1
한림대학교 의학대학원,1
한국산업기술대학교 산업 기술 경영대학원,1
을지대학원 대학원,1
"Department of Life Science, Pohang University of Science and Technology",1
"경성대학교, 일반대학원",1
UST masters thesis,1
과학기술연합대학원대학교  한국생명공학연구원 스쿨,1
sejong University,1
"Division of Environmental Science and Engineering, Pohang University of Science and Technology",1
세중대학교 일반대학원,1
"Univesity of Ulsan, Department of Electrical, Electronic, and Computer Engineering",1
아신대학교 일반대학원,1
Daegu University,1
고려대학교 대학원 Graduate School of International Studies,1
울산대학교 대학원 의학과,1
Graduate School Chungnam National University,1
Korea National University of Transportation and Department of Green Bioengineering,1
"경찰대학, 치안대학원",1
Hanseo university,1
"University of Science and Technology, Korea Institute of Oriental Medicine",1
University of Science Technology,1
"안동대학교,경영학과",1
과학기술연합대학원 대학교,1
Soonchunhyang University,1
한동대학교 국제법률대학원,1
