국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202234009,CNTS-00127316413,공공간행물,"왕겨 고기능성, 고부가가치 산업소재화 공정 기술 개발 및 상용화 [전자자료] : 농축산물안전유통소비기술개발사업 2021년도 최종보고서  / 한국세라믹기술원, 네이처코스텍, 동아대학교 산학협력단, 아미노랩, 이진형, 전소영, 황이택, 박해성","왕겨 고기능성, 고부가가치 산업소재화 공정 기술 개발 및 상용화",농축산물안전유통소비기술개발사업 2021년도 최종보고서 ,한국세라믹기술원;네이처코스텍;동아대학교 산학협력단;아미노랩;이진형;전소영;황이택;박해성,농림축산식품부,No data,sjk,text,No data,No data,kor,생명과학
NBC202229966,KMO202305937,공공간행물,"왕도한성 = Hanseong, the royal capital : 풍납동 토성과 몽촌토성 : 개관 10주년 기념 특별전시 / [편]: 한성백제박물관 ; 원고집필: 최충기, 이정은, 정다움, 정수경 ; 논고집필: 박순발, 홍승연",왕도한성,풍납동 토성과 몽촌토성 :개관 10주년 기념 특별전시,최충기;이정은;정다움;정수경;박순발;홍승연;한성백제박물관(KAB201400328),한성백제박물관,서울,ulk,text,28 cm,20000,kor,아시아
NBC202229967,KMO202242399,공공간행물,왜 해외인재인가 : 글로벌 인재(人才)와 세계로 진출한 12개 기업 이야기 / KOTRA 해외취업팀 [편],왜 해외인재인가,글로벌 인재(人才)와 세계로 진출한 12개 기업 이야기,KOTRA.해외취업팀,KOTRA 해외취업팀,서울,ulk,text,23 cm,No data,kor,경제학
NBC202229967,KMO202248109,공공간행물,외교문서공개목록 : 1991 / 외교부 [편],외교문서공개목록,1991,외교부(KAB201400040),외교부,No data,ulk,text,30 cm,No data,kor,정치학
NBC202229967,T16591502,공공간행물,"외국사법제도연구. 30, 각국의 상속재산분할, 기여분, 유류분 제도 / 사법정책연구원 [편]",외국사법제도연구,No data,사법정책연구원;법원행정처,사법정책연구원,No data,ggk,text,26 cm,비매품,kor,"법률,법학"
NBC202229967,KMO201966769,공공간행물,"외국사법제도연구. 30, 각국의 상속재산분할, 기여분, 유류분 제도 / 사법정책연구원 [편]",외국사법제도연구,No data,대법원.사법정책연구원(KAB201911210),사법정책연구원,No data,jnk,text,30 cm,No data,kor,"사회학,사회문제"
NBC202229967,KMO201966769,공공간행물,"외국사법제도연구. 29, 각국 법관의 다양한 직무 경험 / 사법정책연구원 [편]",외국사법제도연구,No data,대법원.사법정책연구원(KAB201911210),사법정책연구원,No data,ggk,text,30 cm,No data,kor,"건축,건축학"
NBC202229967,KMO202229080,공공간행물,외국인 투자 가이드 2022 / KOTRA 종합행정지원센터 투자종합상담실 [편],외국인 투자 가이드 2022,No data,KOTRA.종합행정지원센터.투자종합상담실(KAB202208246),KOTRA 종합행정지원센터 투자종합상담실,서울,ulk,text,23 cm,No data,kor,경제학
NBC202229967,KMO202261816,공공간행물,"외국인을 위한 2022년 소득세 신고안내 : Individual income tax and benefit guide for foreigners 2022 : tax returns for 2021 / 2021년 귀속 = 집필·편집: 최인순, 권경환, 류명지 ; 번역: 이지민",외국인을 위한 2022년 소득세 신고안내,2021년 귀속,최인순;권경환;류명지;이지민,국세청 국제조세관리실 국제조세담당관실,No data,sjk,text,26 cm,No data,kor,경제학
NBC202229967,KMO202304990,공공간행물,"외규장각 의궤 : Pinnacle of propriety : the Uigwe, records of the state rites of the Joseon dynasty / 그 고귀함의 의미 = [편]: 국립중앙박물관 ; 본문: 김동우, 임혜경 ; 사진: 김광섭",외규장각 의궤,그 고귀함의 의미,김동우;임혜경;김광섭;국립중앙박물관(KAB201400286),국립중앙박물관,서울,ulk,text,29 cm,33000,kor,아시아
NBC202229967,KMO202316728,공공간행물,외래 메뚜기(Melanoplus differentialis)의 SNP 유전체 분석을 이용한 역학조사 기술 개발 = Development of epidemiological investigation technique for Melanoplus differentialis via analysis of SNP : 연구결과보고서 / 주관연구기관명: 경북대학교 산학협력단 ; 주관연구책임자: 김동흔 ; 제1세부연구기관: 경북대학교 산학협력단 ; 세부과제책임자: 김동흔 ; 제2세부연구기관: 지노타입 ; 세부과제책임자: 최수련,외래 메뚜기(Melanoplus differentialis)의 SNP 유전체 분석을 이용한 역학조사 기술 개발,연구결과보고서,김동흔;최수련;경북대학교.산학협력단(KAB201400287);지노타입,농림축산검역본부,No data,gbk,text,30 cm,No data,kor,동물학
NBC202229967,KMO202316666,공공간행물,"외래곤충 생태도감 = Invasive alien insect of Korea / 저자: 김동언, 김다영, 이희조, 김낭희, 장범준, 이민지",외래곤충 생태도감,No data,김동언(KAC202152153);김다영;이희조(KAC2018I2964);김낭희(KAC2020E0114);장범준(KAC2021L1900);이민지,국립생태원,서천,hck,text,21 cm,No data,kor,동물학
NBC202229968,KMO202305040,공공간행물,"외로움 반장 : 독서활동 매뉴얼 : 2022 국립어린이청소년도서관 책 읽기 활용 도움자료 / 책임개발: 오선경 ; 공동개발: 김두심, 이정은",외로움 반장,독서활동 매뉴얼 :2022 국립어린이청소년도서관 책 읽기 활용 도움자료,오선경;김두심;이정은,국립어린이청소년도서관,서울,ulk,text,30 cm,No data,kor,문헌정보학
NBC202229968,T15771382,공공간행물,요건사실론 : 2022 / 법원공무원교육원 [편],요건사실론,2022,법원공무원교육원,법원공무원교육원,고양,ggk,text,26 cm,No data,kor,"법률,법학"
NBC202229968,KMO202262583,공공간행물,"요리로 만나는 조개 이야기 : 피조개·가리비·바지락 / 참여연구원: 손광태, 장미순, 김풍호, 오재영, 김연계, 유홍식, 조미라, 최지호, 박큰바위, 이가정, 윤나영, 정연중, 김동욱, 이윤미, 양진우, 원동재, 진현우 ; 레시피 개발 참여위원: 김병일, 김계영, 정주혁",요리로 만나는 조개 이야기,피조개·가리비·바지락,손광태(KAC2018G2560);장미순(KAC201703036);김풍호(KAC2018H4926);오재영(KAC201868616);김연계(KAC201635080);유홍식(KAC201847006);조미라;최지호;박큰바위(KAC2018I2396);이가정(KAC201722247);윤나영(KAC201746344);정연중(KAC2018H6314);김동욱(KAC2019F5380);이윤미;양진우;원동재;진현우;김병일(KAC201218055);김계영;정주혁,국립수산과학원 식품위생가공과,부산,bnk,text,25 cm,No data,kor,생활과학
